,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
224,cdm_run_v21524855358955,2,this circle,age5,1524855427417.0,2018-04-27T18:57:07.417Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age5_cdm_run_v21524855358955.png
225,cdm_run_v21524855358955,3,a car,age5,1524855463410.0,2018-04-27T18:57:43.410Z,8,15.159,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age5_cdm_run_v21524855358955.png
226,cdm_run_v21524855358955,4,a tree,age5,1524855485766.0,2018-04-27T18:58:05.766Z,2,10.252,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age5_cdm_run_v21524855358955.png
227,cdm_run_v21524855358955,5,a house,age5,1524855521804.0,2018-04-27T18:58:41.804Z,7,21.588,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age5_cdm_run_v21524855358955.png
228,cdm_run_v21524855358955,6,a cup,age5,1524855539690.0,2018-04-27T18:58:59.690Z,3,5.559,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age5_cdm_run_v21524855358955.png
229,cdm_run_v21524855358955,7,a fish,age5,1524855575381.0,2018-04-27T18:59:35.381Z,2,10.332,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age5_cdm_run_v21524855358955.png
230,cdm_run_v21524855358955,8,a person,age5,1524855603036.0,2018-04-27T19:00:03.036Z,10,13.502,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age5_cdm_run_v21524855358955.png
231,cdm_run_v21524855358955,9,a boat,age5,1524855638991.0,2018-04-27T19:00:38.991Z,8,21.478,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age5_cdm_run_v21524855358955.png
232,cdm_run_v21524855358955,11,something you love,age5,1524855700285.0,2018-04-27T19:01:40.285Z,5,18.21,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age5_cdm_run_v21524855358955.png
233,cdm_run_v21524856358335,0,square,age4,1524856456488.0,2018-04-27T19:14:16.487Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age4_cdm_run_v21524856358335.png
234,cdm_run_v21524856358335,1,shape,age4,1524856491407.0,2018-04-27T19:14:51.407Z,19,15.38,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age4_cdm_run_v21524856358335.png
235,cdm_run_v21524856509063,0,square,age4,1524856555525.0,2018-04-27T19:15:55.525Z,16,18.173,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age4_cdm_run_v21524856509063.png
236,cdm_run_v21524856509063,1,shape,age4,1524856594352.0,2018-04-27T19:16:34.352Z,7,21.141,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age4_cdm_run_v21524856509063.png
237,cdm_run_v21524856509063,3,a cup,age4,1524856631567.0,2018-04-27T19:17:11.567Z,5,7.351,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age4_cdm_run_v21524856509063.png
238,cdm_run_v21524856509063,4,a tree,age4,1524856657521.0,2018-04-27T19:17:37.521Z,2,4.792,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age4_cdm_run_v21524856509063.png
239,cdm_run_v21524857899704,0,square,age4,1524858234372.0,2018-04-27T19:43:54.372Z,2,1.005,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age4_cdm_run_v21524857899704.png
240,cdm_run_v21524857899704,1,shape,age4,1524858247705.0,2018-04-27T19:44:07.705Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age4_cdm_run_v21524857899704.png
241,cdm_run_v21524857899704,2,this circle,age4,1524858258915.0,2018-04-27T19:44:18.915Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age4_cdm_run_v21524857899704.png
242,cdm_run_v21524857899704,3,a house,age4,1524858274433.0,2018-04-27T19:44:34.433Z,2,3.121,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age4_cdm_run_v21524857899704.png
243,cdm_run_v21524857899704,4,a dog,age4,1524858291538.0,2018-04-27T19:44:51.538Z,13,8.079,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age4_cdm_run_v21524857899704.png
244,cdm_run_v21524858351543,0,square,age7,1524858384080.0,2018-04-27T19:46:24.080Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v21524858351543.png
245,cdm_run_v21524858351543,1,shape,age7,1524858401829.0,2018-04-27T19:46:41.829Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v21524858351543.png
246,cdm_run_v21524858351543,2,this circle,age7,1524858416031.0,2018-04-27T19:46:56.031Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v21524858351543.png
247,cdm_run_v21524858351543,4,a dog,age7,1524858436342.0,2018-04-27T19:47:16.342Z,8,4.475,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v21524858351543.png
248,cdm_run_v21524858351543,5,a cup,age7,1524858471753.0,2018-04-27T19:47:51.753Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age7_cdm_run_v21524858351543.png
249,cdm_run_v21524858550029,0,square,age7,1524858628675.0,2018-04-27T19:50:28.675Z,4,3.639,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v21524858550029.png
250,cdm_run_v21524858550029,1,shape,age7,1524858643295.0,2018-04-27T19:50:43.295Z,4,13.228,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v21524858550029.png
251,cdm_run_v21524858550029,2,this circle,age7,1524858654232.0,2018-04-27T19:50:54.232Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v21524858550029.png
252,cdm_run_v21524858550029,3,a dog,age7,1524858674203.0,2018-04-27T19:51:14.203Z,16,10.18,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v21524858550029.png
